trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,expected_units,core_rows,extended_review_rows,total_rows,path,review_status
anthropometry.body_height.ctv3,anthropometry,body_height,ctv3,gp_clinical,read_3,exact,true,cm or m; verify source unit,3,18,21,codelists/clinical_traits/anthropometry/body_height/ctv3.csv,candidate_requires_clinical_review
anthropometry.body_height.read_v2,anthropometry,body_height,read_v2,gp_clinical,read_2,exact,true,cm or m; verify source unit,1,8,9,codelists/clinical_traits/anthropometry/body_height/read_v2.csv,candidate_requires_clinical_review
anthropometry.body_mass_index.ctv3,anthropometry,body_mass_index,ctv3,gp_clinical,read_3,exact,true,kg/m2,2,75,77,codelists/clinical_traits/anthropometry/body_mass_index/ctv3.csv,candidate_requires_clinical_review
anthropometry.body_mass_index.read_v2,anthropometry,body_mass_index,read_v2,gp_clinical,read_2,exact,true,kg/m2,1,35,36,codelists/clinical_traits/anthropometry/body_mass_index/read_v2.csv,candidate_requires_clinical_review
anthropometry.body_weight.ctv3,anthropometry,body_weight,ctv3,gp_clinical,read_3,exact,true,kg; verify source unit,3,41,44,codelists/clinical_traits/anthropometry/body_weight/ctv3.csv,candidate_requires_clinical_review
anthropometry.body_weight.read_v2,anthropometry,body_weight,read_v2,gp_clinical,read_2,exact,true,kg; verify source unit,1,4,5,codelists/clinical_traits/anthropometry/body_weight/read_v2.csv,candidate_requires_clinical_review
anthropometry.hip_circumference.ctv3,anthropometry,hip_circumference,ctv3,gp_clinical,read_3,exact,true,cm; verify source unit,3,0,3,codelists/clinical_traits/anthropometry/hip_circumference/ctv3.csv,candidate_requires_clinical_review
anthropometry.hip_circumference.read_v2,anthropometry,hip_circumference,read_v2,gp_clinical,read_2,exact,true,cm; verify source unit,1,0,1,codelists/clinical_traits/anthropometry/hip_circumference/read_v2.csv,candidate_requires_clinical_review
anthropometry.waist_circumference.ctv3,anthropometry,waist_circumference,ctv3,gp_clinical,read_3,exact,true,cm; verify source unit,8,0,8,codelists/clinical_traits/anthropometry/waist_circumference/ctv3.csv,candidate_requires_clinical_review
anthropometry.waist_circumference.read_v2,anthropometry,waist_circumference,read_v2,gp_clinical,read_2,exact,true,cm; verify source unit,3,0,3,codelists/clinical_traits/anthropometry/waist_circumference/read_v2.csv,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,mmol/L; verify source unit,97,2,99,codelists/clinical_traits/glycaemia/blood_glucose/ctv3.csv,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,mmol/L; verify source unit,31,1,32,codelists/clinical_traits/glycaemia/blood_glucose/read_v2.csv,candidate_requires_clinical_review
glycaemia.c_peptide.ctv3,glycaemia,c_peptide,ctv3,gp_clinical,read_3,exact,true,nmol/L or pmol/L; verify source unit,6,0,6,codelists/clinical_traits/glycaemia/c_peptide/ctv3.csv,candidate_requires_clinical_review
glycaemia.c_peptide.read_v2,glycaemia,c_peptide,read_v2,gp_clinical,read_2,exact,true,nmol/L or pmol/L; verify source unit,2,0,2,codelists/clinical_traits/glycaemia/c_peptide/read_v2.csv,candidate_requires_clinical_review
glycaemia.hba1c.ctv3,glycaemia,hba1c,ctv3,gp_clinical,read_3,exact,true,mmol/mol or %; determine from code and value,7,0,7,codelists/clinical_traits/glycaemia/hba1c/ctv3.csv,candidate_requires_clinical_review
glycaemia.hba1c.read_v2,glycaemia,hba1c,read_v2,gp_clinical,read_2,exact,true,mmol/mol or %; determine from code and value,1,0,1,codelists/clinical_traits/glycaemia/hba1c/read_v2.csv,candidate_requires_clinical_review
glycaemia.insulin.ctv3,glycaemia,insulin,ctv3,gp_clinical,read_3,exact,true,mU/L or pmol/L; verify source unit,4,0,4,codelists/clinical_traits/glycaemia/insulin/ctv3.csv,candidate_requires_clinical_review
glycaemia.insulin.read_v2,glycaemia,insulin,read_v2,gp_clinical,read_2,exact,true,mU/L or pmol/L; verify source unit,1,0,1,codelists/clinical_traits/glycaemia/insulin/read_v2.csv,candidate_requires_clinical_review
haematology.haemoglobin.ctv3,haematology,haemoglobin,ctv3,gp_clinical,read_3,exact,true,g/L; verify source unit,5,0,5,codelists/clinical_traits/haematology/haemoglobin/ctv3.csv,candidate_requires_clinical_review
haematology.haemoglobin.read_v2,haematology,haemoglobin,read_v2,gp_clinical,read_2,exact,true,g/L; verify source unit,1,0,1,codelists/clinical_traits/haematology/haemoglobin/read_v2.csv,candidate_requires_clinical_review
haematology.mean_corpuscular_volume.ctv3,haematology,mean_corpuscular_volume,ctv3,gp_clinical,read_3,exact,true,fL,2,12,14,codelists/clinical_traits/haematology/mean_corpuscular_volume/ctv3.csv,candidate_requires_clinical_review
haematology.mean_corpuscular_volume.read_v2,haematology,mean_corpuscular_volume,read_v2,gp_clinical,read_2,exact,true,fL,1,6,7,codelists/clinical_traits/haematology/mean_corpuscular_volume/read_v2.csv,candidate_requires_clinical_review
haematology.platelet_count.ctv3,haematology,platelet_count,ctv3,gp_clinical,read_3,exact,true,10^9/L,4,4,8,codelists/clinical_traits/haematology/platelet_count/ctv3.csv,candidate_requires_clinical_review
haematology.platelet_count.read_v2,haematology,platelet_count,read_v2,gp_clinical,read_2,exact,true,10^9/L,2,2,4,codelists/clinical_traits/haematology/platelet_count/read_v2.csv,candidate_requires_clinical_review
haematology.red_cell_distribution_width.ctv3,haematology,red_cell_distribution_width,ctv3,gp_clinical,read_3,exact,true,%,4,0,4,codelists/clinical_traits/haematology/red_cell_distribution_width/ctv3.csv,candidate_requires_clinical_review
haematology.red_cell_distribution_width.read_v2,haematology,red_cell_distribution_width,read_v2,gp_clinical,read_2,exact,true,%,1,0,1,codelists/clinical_traits/haematology/red_cell_distribution_width/read_v2.csv,candidate_requires_clinical_review
