trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
medication.glucose_lowering.read_v2_drug,medication,glucose_lowering,read_v2_drug,gp_scripts,read_2,exact,true,f1...,SHORT-ACTING INSULIN PREPARATIONS,SHORT-ACTING INSULIN PREPARATIONS,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 06.01.01.01,candidate_requires_pharmacology_review
medication.glucose_lowering.read_v2_drug,medication,glucose_lowering,read_v2_drug,gp_scripts,read_2,exact,true,f11..,*SOLUBLE INSULIN,*SOLUBLE INSULIN,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 06.01.01.01,candidate_requires_pharmacology_review
medication.glucose_lowering.read_v2_drug,medication,glucose_lowering,read_v2_drug,gp_scripts,read_2,exact,true,f12..,SOLUBLE NEUTRAL INSULIN,SOLUBLE NEUTRAL INSULIN,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 06.01.01.01,candidate_requires_pharmacology_review
medication.glucose_lowering.read_v2_drug,medication,glucose_lowering,read_v2_drug,gp_scripts,read_2,exact,true,f121.,NEUTRAL INSULIN 100iu/mL injection 10mL,NEUTRAL INSULIN 100iu/mL injection 10mL,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 06.01.01.01,candidate_requires_pharmacology_review
medication.glucose_lowering.read_v2_drug,medication,glucose_lowering,read_v2_drug,gp_scripts,read_2,exact,true,f122.,HYPURIN NEUTRAL 100iu/mL injection 10mL,HYPURIN NEUTRAL 100iu/mL injection 10mL,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 06.01.01.01,candidate_requires_pharmacology_review
medication.glucose_lowering.read_v2_drug,medication,glucose_lowering,read_v2_drug,gp_scripts,read_2,exact,true,f125.,VELOSULIN 100iu/mL injection 10mL,VELOSULIN 100iu/mL injection 10mL,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 06.01.01.01,candidate_requires_pharmacology_review
medication.glucose_lowering.read_v2_drug,medication,glucose_lowering,read_v2_drug,gp_scripts,read_2,exact,true,f126.,VELOSULIN CARTRIDGE 100iu/mL injection 5.7mL,VELOSULIN CARTRIDGE 100iu/mL injection 5.7mL,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 06.01.01.01,candidate_requires_pharmacology_review
medication.glucose_lowering.read_v2_drug,medication,glucose_lowering,read_v2_drug,gp_scripts,read_2,exact,true,f127.,HUMAN ACTRAPID 100iu/mL injection 10mL,HUMAN ACTRAPID 100iu/mL injection 10mL,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 06.01.01.01,candidate_requires_pharmacology_review
medication.glucose_lowering.read_v2_drug,medication,glucose_lowering,read_v2_drug,gp_scripts,read_2,exact,true,f128.,HUMAN ACTRAPID 100iu/mL penfill cartridges,HUMAN ACTRAPID 100iu/mL penfill cartridges,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 06.01.01.01,candidate_requires_pharmacology_review
medication.glucose_lowering.read_v2_drug,medication,glucose_lowering,read_v2_drug,gp_scripts,read_2,exact,true,f129.,HUMAN VELOSULIN 100iu/mL injection 10mL,HUMAN VELOSULIN 100iu/mL injection 10mL,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Mapped BNF code: 06.01.01.01,candidate_requires_pharmacology_review
