trait_group,trait,include_regex,exclude_regex,code_exclusions,core_regex,expected_units,selection_method
anthropometry,body_weight,\bo/e\s*-\s*(?:body )?weight\b|\bbody weight(?: measurement| measured| level)?\b|\bweight (?:measurement|measured|in kg)\b,birth|fetal|foetal|baby|infant|child|symptom|gain|loss|diet|ideal|target|predicted|dry weight|molecular,,^(?:o/e\s*-\s*)?(?:body )?weight(?: measurement)?$|body weight measured|weight in kg,kg; verify source unit,terminology_description
anthropometry,body_height,\bo/e\s*-\s*(?:body )?height\b|\bbody height(?: measurement| measured| level)?\b|\bheight (?:measurement|measured|in cm|in metres?)\b|\bstature measurement\b,fundal|heel|shoe|loss of height|short stature|predicted|expected|parental,,^(?:o/e\s*-\s*)?(?:body )?height(?: measurement)?$|body height measured|height in (?:cm|metres?),cm or m; verify source unit,terminology_description
anthropometry,body_mass_index,\bbody mass index\b|\bbmi\b|quetelet,target|advice|education|review|assessment declined,,^(?:bmi\s*-\s*)?body mass index(?:\s*-\s*observation)?$|^body mass index$,kg/m2,terminology_description
anthropometry,waist_circumference,\bwaist circumference\b|\babdominal circumference\b,declined|target|fetal|foetal,,^(?:baseline )?(?:waist|abdominal) circumference$,cm; verify source unit,terminology_description
anthropometry,hip_circumference,\bhip circumference\b,declined|target,,^(?:baseline )?hip circumference$,cm; verify source unit,terminology_description
anthropometry,waist_hip_ratio,\bwaist(?: to|[- ])hip ratio\b|\bwaist:hip ratio\b,target|declined,,waist(?: to|[- ])hip ratio|waist:hip ratio,ratio,terminology_description
haemodynamics,systolic_blood_pressure,systolic (?:blood pressure|bp)|(?:blood pressure|bp).*systolic,ventricular|dysfunction|target|goal|difference|drop|response|control|education,,reading|measurement|level|average|mean|home|ambulatory|standing|sitting|lying|o/e,mmHg,terminology_description
haemodynamics,diastolic_blood_pressure,diastolic (?:blood pressure|bp)|(?:blood pressure|bp).*diastolic,ventricular|dysfunction|target|goal|difference|drop|response|control|education,,reading|measurement|level|average|mean|home|ambulatory|standing|sitting|lying|o/e,mmHg,terminology_description
haemodynamics,blood_pressure,\bblood pressure (?:reading|measurement|level)\b|\bo/e\s*-\s*blood pressure\b,systolic|diastolic|target|goal|control|education|declined,,^(?:o/e\s*-\s*)?blood pressure(?: reading| measurement)?$,mmHg,terminology_description
glycaemia,blood_glucose,\b(?:blood|serum|plasma) (?:fasting |random |post[- ]?prandial |\d+[- ]?(?:minute|hour) )?glucose (?:level|result|measurement)\b|\boral glucose tolerance (?:test|result)\b|\bogtt\b,urine|csf|cerebrospinal|monitor|strip|device|target|education|self measurement|ketone,,level|result|measurement|tolerance test,mmol/L; verify source unit,terminology_description
glycaemia,hba1c,hba1c|glycat(?:ed|ed) h[ae]moglobin|glycosylated h[ae]moglobin,target|goal|education|review|poor control|good control|monitoring range|diagnostic reference range,,level|fraction|dcct aligned|ifcc aligned|ifcc standardised,mmol/mol or %; determine from code and value,terminology_description
glycaemia,insulin,\b(?:serum|plasma|fasting) insulin (?:level|measurement|assay)\b|\binsulin assay\b,drug|injection|therapy|dose|antibody|receptor|diabetes|resistance,,level|measurement|assay,mU/L or pmol/L; verify source unit,terminology_description
glycaemia,c_peptide,\bc[- ]?peptide (?:level|measurement|assay)\b|\bserum c[- ]?peptide\b|\bplasma c[- ]?peptide\b,antibody|therapy|education,,level|measurement|assay,nmol/L or pmol/L; verify source unit,terminology_description
lipids,total_cholesterol,\b(?:serum|plasma|blood|total) cholesterol(?: level| measurement)?\b,hdl|ldl|vldl|ratio|family history|target|diet|drug|screening,,^(?:serum|plasma|blood|total) cholesterol(?: level| measurement)?$,mmol/L,terminology_description
lipids,hdl_cholesterol,\bhdl cholesterol(?: level| measurement)?\b|\bhigh[- ]density lipoprotein cholesterol(?: level| measurement)?\b,non[- ]?hdl|ratio|electrophores|deficiency|disease|target,,level|measurement,mmol/L,terminology_description
lipids,ldl_cholesterol,\bldl cholesterol(?: level| measurement)?\b|\blow[- ]density lipoprotein cholesterol(?: level| measurement)?\b,ratio|electrophores|deficiency|disease|target|hyperchol,,level|measurement,mmol/L,terminology_description
lipids,triglycerides,\b(?:serum|plasma|blood) triglycerides?(?: level| measurement)?\b|\btriglyceride level\b,ratio|family history|fh:|target|diet|drug,,^(?:serum|plasma|blood) triglycerides?(?: level| measurement)?$,mmol/L,terminology_description
lipids,apolipoprotein_a,\b(?:serum|plasma) apolipoprotein a(?:[- ]?i|1) level\b,deficiency|variant|genotyp|antibody,,level,g/L; verify analyte and source unit,terminology_description
lipids,apolipoprotein_b,\b(?:serum|plasma) apolipoprotein b(?:-100)? level\b,deficiency|variant|genotyp|familial|defective,,level,g/L; verify source unit,terminology_description
lipids,lipoprotein_a,\b(?:serum|plasma) lipoprotein\s*\(a\)(?: level| measurement)?\b,antibody|phenotype|genotype,,level|measurement,nmol/L or mg/dL; do not convert without an assay-specific factor,terminology_description
renal,creatinine,\b(?:serum|plasma) creatinine(?: level| measurement)?\b,phosphokinase|kinase|ratio|clearance|target|urine,,^(?:serum|plasma) creatinine(?: level| measurement)?$,umol/L; verify source unit,terminology_description
renal,egfr,\bestimated glomerular filtration rate\b|\begfr\b|\bglomerular filtration rate (?:level|calculated|estimated|calculation)\b,ckd |category|testing|with gfr|tubular|maximal|target|radioisotope|clearance,,estimated|calculated|calculation|level,mL/min/1.73m2; verify equation,terminology_description
renal,albumin_creatinine_ratio,\burine (?:micro)?albumin[: /-]?creatinine ratio\b|\balbumin[: /-]?creatinine ratio\b,testing not indicated|target|diabetes mellitus with,,ratio,mg/mmol; verify source unit,terminology_description
renal,urea,\b(?:serum|plasma|blood) urea (?:level|measurement)\b,urine|ratio|cycle|breath|clearance|nitrogen,,level|measurement,mmol/L; verify source unit,terminology_description
renal,cystatin_c,\b(?:serum|plasma|blood) cystatin c (?:level|measurement)\b,egfr|glomerular filtration,,level|measurement,mg/L; verify source unit,terminology_description
liver,alanine_aminotransferase,\b(?:serum|plasma) alanine (?:amino)?transferase level\b|\balanine transaminase level\b|\balt(?:/sgpt)? (?:serum )?level\b,ratio|target|disorder,,level,U/L,terminology_description
liver,aspartate_aminotransferase,\b(?:serum|plasma) aspartate (?:amino)?transferase level\b|\baspartate transaminase level\b|\bast (?:serum )?level\b,ratio|target|disorder,,level,U/L,terminology_description
liver,gamma_glutamyl_transferase,\bgamma[- ]glutamyl (?:transferase|transpeptidase)(?: level)?\b|\bggt (?:level|gamma)\b,cycle|disorder|target,,level|transferase$|transpeptidase$,U/L,terminology_description
liver,alkaline_phosphatase,\b(?:serum|plasma) alkaline phosphatase(?: level| measurement)?\b,placental|bone[- ]specific|isoenzyme|leucocyte|neutrophil|prostatic|intestinal|heat stable,,^(?:serum|plasma) alkaline phosphatase(?: level| measurement)?$,U/L,terminology_description
liver,albumin,\b(?:serum|plasma) albumin(?: level| measurement)?\b,urine|ratio|creatinine|globulin|dialysis|ascites,,^(?:serum|plasma) albumin(?: level| measurement)?$,g/L; verify source unit,terminology_description
liver,bilirubin,\b(?:serum|plasma) (?:total |direct |conjugated )?bilirubin(?: level| measurement)?\b,urine|transcutaneous|neonatal|foetal|fetal,,level|measurement,umol/L; distinguish total and direct,terminology_description
inflammation,c_reactive_protein,\b(?:serum|plasma) c[- ]?reactive protein(?: level| measurement)?\b|\bc[- ]?reactive protein level\b|\bcrp level\b,target|antibody|screening,,level|measurement,mg/L,terminology_description
metabolic,urate,\b(?:serum|plasma) (?:urate|uric acid)(?: level| measurement)?\b,urine|stone|gout|target|diet,,^(?:serum|plasma) (?:urate|uric acid)(?: level| measurement)?$,umol/L; verify source unit,terminology_description
metabolic,calcium,\b(?:serum|plasma) (?:adjusted |corrected )?calcium(?: level| measurement)?\b,urine|ionised|ionized|score|coronary|diet|supplement,,level|measurement|^(?:serum|plasma) (?:adjusted |corrected )?calcium$,mmol/L; distinguish corrected and uncorrected,terminology_description
metabolic,phosphate,\b(?:serum|plasma) (?:inorganic )?phosphate(?: level| measurement)?\b,urine|alkaline|buffer|supplement,,level|measurement,mmol/L; verify source unit,terminology_description
metabolic,vitamin_d,\b(?:serum|plasma) (?:total )?(?:25[- ]?hydroxy)?vitamin d(?:2|3)?(?: level| measurement)?\b,"allergy|supplement|therapy|deficiency|rickets|1,25|dihydroxy",,25[- ]?hydroxy,nmol/L; prefer total 25-hydroxyvitamin D,terminology_description
thyroid,tsh,\b(?:serum |plasma )?(?:tsh|thyroid[- ]stimulating hormone)(?: level| measurement)?\b,releasing hormone|suppression therapy|deficiency|resistance|secreting|overproduction|receptor|antibody|binding site|blood spot|\d+ minute,.442. | 442..,^(?:serum |plasma )?tsh(?: level| measurement)?$|^tsh\s*-\s*thyroid stim(?:ulating)?\.? hormone(?: \(& level\))?$|^thyroid[- ]stimulating hormone level$,mIU/L; verify source unit,terminology_description
thyroid,free_t4,\b(?:serum|plasma )?(?:free t4|free thyroxine)(?: level| measurement)?\b,index|uptake|ratio|therapy,,level|measurement,pmol/L; verify source unit,terminology_description
thyroid,free_t3,\b(?:serum|plasma )?(?:free t3|free triiodothyronine)(?: level| measurement)?\b,uptake|ratio|therapy,,level|measurement,pmol/L; verify source unit,terminology_description
thyroid,thyroid_peroxidase_antibody,\bthyroid peroxidase antibod(?:y|ies)(?: level| concentration| measurement)?\b,negative history|family history,,level|concentration|measurement,IU/mL or kIU/L; verify assay,terminology_description
thyroid,thyroglobulin_antibody,\b(?:anti[- ]?)?thyroglobulin antibod(?:y|ies)(?: level| concentration| measurement)?\b,negative history|family history,,level|concentration|measurement,IU/mL or kIU/L; verify assay,terminology_description
haematology,white_blood_cell_count,\b(?:total )?white (?:blood )?cell count(?: level| measurement)?\b|\bwbc count\b,differential|urine|csf|cerebrospinal|declined,,count|level|measurement,10^9/L,terminology_description
haematology,mean_corpuscular_volume,\bmean (?:cell|corpuscular) volume(?: level| measurement)?\b|\bmcv(?: level| measurement)?\b,platelet|reticulocyte,,volume|level|measurement,fL,terminology_description
haematology,red_cell_distribution_width,\bred (?:blood )?cell distribut(?:ion)? width(?: level| measurement)?\b|\brdw(?: level| measurement)?\b,target,,width|level|measurement,%,terminology_description
haematology,haemoglobin,\b(?:haemoglobin|hemoglobin|hb) estimation(?: \(& level\))?$|^(?:hb\s*-\s*)?haemoglobin (?:concentration|level)$,not estimated|requested|sample sent|glycat|glycosyl|fetal|foetal|carboxy|methaemoglobin|oxyhaemoglobin|urine|plasma|variant|electrophoresis|mean cell|mchc|unstable|alteration,,estimation|concentration|level,g/L; verify source unit,terminology_description
haematology,platelet_count,\bplatelet count(?: level| measurement| observation)?\b|\bplt\s*-\s*platelet count\b,reticulated|low|decreased|thrombocyt,,count|level|measurement|observation,10^9/L,terminology_description
medication,glucose_lowering,,,,,not applicable,named_bnf_hierarchy_categories
medication,lipid_lowering,,,,,not applicable,named_bnf_hierarchy_categories
medication,weight_management,,,,,not applicable,named_bnf_hierarchy_categories
medication,antihypertensive,,,,,not applicable,named_bnf_hierarchy_categories
