trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
liver.aspartate_aminotransferase.ctv3,liver,aspartate_aminotransferase,ctv3,gp_clinical,read_3,exact,true,.44H5,AST serum level,AST serum level,core,numeric_candidate,U/L,read_ctv3_lkp,S,candidate_requires_clinical_review
liver.aspartate_aminotransferase.ctv3,liver,aspartate_aminotransferase,ctv3,gp_clinical,read_3,exact,true,.44HB,AST serum level,AST serum level,core,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.aspartate_aminotransferase.ctv3,liver,aspartate_aminotransferase,ctv3,gp_clinical,read_3,exact,true,.44HC,Plasma aspartate transaminase level,Plasma aspartate transaminase level,core,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.aspartate_aminotransferase.ctv3,liver,aspartate_aminotransferase,ctv3,gp_clinical,read_3,exact,true,44H5.,AST serum level,AST serum level,core,numeric_candidate,U/L,read_ctv3_lkp,S,candidate_requires_clinical_review
liver.aspartate_aminotransferase.ctv3,liver,aspartate_aminotransferase,ctv3,gp_clinical,read_3,exact,true,44HB.,AST serum level,AST serum level,core,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.aspartate_aminotransferase.ctv3,liver,aspartate_aminotransferase,ctv3,gp_clinical,read_3,exact,true,44HC.,Plasma aspartate transaminase level,Plasma aspartate transaminase level,core,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.aspartate_aminotransferase.ctv3,liver,aspartate_aminotransferase,ctv3,gp_clinical,read_3,exact,true,X771h,AST serum level,AST serum level,core,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.aspartate_aminotransferase.ctv3,liver,aspartate_aminotransferase,ctv3,gp_clinical,read_3,exact,true,X771i,AST serum level,AST serum level,core,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.aspartate_aminotransferase.ctv3,liver,aspartate_aminotransferase,ctv3,gp_clinical,read_3,exact,true,XE25Q,Aspartate transaminase level,Aspartate transaminase level,core,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.aspartate_aminotransferase.ctv3,liver,aspartate_aminotransferase,ctv3,gp_clinical,read_3,exact,true,XaES6,Plasma aspartate transaminase level,Plasma aspartate transaminase level,core,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
