trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44TA,Plasma glucose level,Plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44TE,30 minute blood glucose level,30 minute blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44TF,60 minute blood glucose level,60 minute blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44TG,90 minute blood glucose level,90 minute blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44TH,120 minute blood glucose level,120 minute blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44TI,150 minute blood glucose level,150 minute blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44TJ,BS - Blood glucose level,Blood glucose level | BS - Blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44TK,Fasting blood glucose level,Fasting blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44U.,Plasma glucose level,(Blood sugar result [& glucose]) or (plasma glucose level) or (hyperglycaemia) | Blood glucose result | Plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44U7,2 hour post-prandial blood glucose level,2 hour post-prandial blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44f.,Serum glucose level,Serum glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44f0,Serum random glucose level,Serum random glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
