trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
liver.gamma_glutamyl_transferase.ctv3,liver,gamma_glutamyl_transferase,ctv3,gp_clinical,read_3,exact,true,.44G7,Plasma gamma-glutamyl transferase level,Plasma gamma-glutamyl transferase level,Plasma gamma-glutamyl transferase level,core,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.gamma_glutamyl_transferase.ctv3,liver,gamma_glutamyl_transferase,ctv3,gp_clinical,read_3,exact,true,.44G9,Serum gamma-glutamyl transferase level,Serum gamma-glutamyl transferase level,Serum gamma-glutamyl transferase level,core,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.gamma_glutamyl_transferase.ctv3,liver,gamma_glutamyl_transferase,ctv3,gp_clinical,read_3,exact,true,44G4.,Gamma-glutamyl transferase level,Gamma-glutamyl transferase level,Gamma-glutamyl transferase level,core,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.gamma_glutamyl_transferase.ctv3,liver,gamma_glutamyl_transferase,ctv3,gp_clinical,read_3,exact,true,44G7.,Plasma gamma-glutamyl transferase level,Plasma gamma-glutamyl transferase level,Plasma gamma-glutamyl transferase level,core,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.gamma_glutamyl_transferase.ctv3,liver,gamma_glutamyl_transferase,ctv3,gp_clinical,read_3,exact,true,44G9.,Serum gamma-glutamyl transferase level,Serum gamma-glutamyl transferase level,Serum gamma-glutamyl transferase level,core,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.gamma_glutamyl_transferase.ctv3,liver,gamma_glutamyl_transferase,ctv3,gp_clinical,read_3,exact,true,X80E1,Gamma-glutamyl transpeptidase,Gamma-glutamyl transferase | GGT - Gamma-glutamyl transferase | Gamma-glutamyl transpeptidase,Gamma-glutamyl transferase | GGT - Gamma-glutamyl transferase | Gamma-glutamyl transpeptidase,core,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.gamma_glutamyl_transferase.ctv3,liver,gamma_glutamyl_transferase,ctv3,gp_clinical,read_3,exact,true,XaES3,Serum gamma-glutamyl transferase level,Serum gamma-glutamyl transferase level,Serum gamma-glutamyl transferase level,core,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.gamma_glutamyl_transferase.ctv3,liver,gamma_glutamyl_transferase,ctv3,gp_clinical,read_3,exact,true,XaES4,Plasma gamma-glutamyl transferase level,Plasma gamma-glutamyl transferase level,Plasma gamma-glutamyl transferase level,core,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.gamma_glutamyl_transferase.ctv3,liver,gamma_glutamyl_transferase,ctv3,gp_clinical,read_3,exact,true,44G40,Gamma-glutamyl transferase level normal,Gamma-glutamyl transferase level normal,Gamma-glutamyl transferase level normal,extended_review,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.gamma_glutamyl_transferase.ctv3,liver,gamma_glutamyl_transferase,ctv3,gp_clinical,read_3,exact,true,44G41,Gamma-glutamyl transferase level abnormal,Gamma-glutamyl transferase level abnormal,Gamma-glutamyl transferase level abnormal,extended_review,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.gamma_glutamyl_transferase.ctv3,liver,gamma_glutamyl_transferase,ctv3,gp_clinical,read_3,exact,true,XM1D6,Gamma-glutamyl transferase raised,Gamma-glutamyl transferase raised,Gamma-glutamyl transferase raised,extended_review,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
liver.gamma_glutamyl_transferase.ctv3,liver,gamma_glutamyl_transferase,ctv3,gp_clinical,read_3,exact,true,Xa6b0,Gamma-glutamyl transpeptidase deficiency,Gamma-glutamyl transpeptidase deficiency,Gamma-glutamyl transpeptidase deficiency,extended_review,numeric_candidate,U/L,read_ctv3_lkp,P,candidate_requires_clinical_review
